city,date,temperature,feels_like,humidity,description,wind_speed
Istanbul,2025-02-04,5.7,0.7,67,light drizzle,5.5
Istanbul,2025-02-05,3.5,-1.5,70,light snow,5.11
Istanbul,2025-02-06,2.7,-2.3,74,moderate snow,5.14
Istanbul,2025-02-07,3.3,-1.3,78,moderate snow,4.64
Istanbul,2025-02-08,4.4,-0.0,82,moderate drizzle,4.75
Istanbul,2025-02-09,4.4,-0.3,75,light drizzle,4.94
Istanbul,2025-02-10,3.8,-0.6,74,light drizzle,4.31
Istanbul,2025-02-11,2.1,-2.1,85,moderate snow,4.06
Istanbul,2025-02-12,2.5,-1.0,86,heavy snow,2.92
Istanbul,2025-02-13,5.0,1.8,71,overcast clouds,2.06
Istanbul,2025-02-14,7.2,4.2,72,overcast clouds,2.44
Istanbul,2025-02-15,9.6,6.9,80,light rain,3.33
Istanbul,2025-02-16,7.7,5.0,90,light rain,3.39
Istanbul,2025-02-17,5.6,2.0,93,moderate rain,4.36
Istanbul,2025-02-18,5.8,1.7,77,light drizzle,4.44
Istanbul,2025-02-19,3.7,-0.7,81,heavy snow,4.42
Istanbul,2025-02-20,1.6,-3.6,68,moderate snow,4.92
Istanbul,2025-02-21,0.6,-4.5,74,moderate snow,4.78
Istanbul,2025-02-22,-0.4,-4.7,75,heavy snow,3.0
Istanbul,2025-02-23,-0.9,-4.6,77,moderate snow,1.86
Istanbul,2025-02-24,0.7,-2.5,70,overcast clouds,1.19
Istanbul,2025-02-25,4.6,1.3,67,overcast clouds,1.89
Istanbul,2025-02-26,5.7,3.6,80,overcast clouds,1.03
Istanbul,2025-02-27,9.5,7.7,74,overcast clouds,1.31
Istanbul,2025-02-28,9.4,7.2,83,light drizzle,2.53
Istanbul,2025-03-01,7.3,4.5,84,overcast clouds,3.0
Istanbul,2025-03-02,7.3,4.6,81,moderate drizzle,2.5
Istanbul,2025-03-03,5.8,1.9,80,moderate drizzle,4.31
Istanbul,2025-03-04,5.5,1.1,73,light drizzle,4.61
Istanbul,2025-03-05,6.2,2.6,75,clear sky,3.53
Istanbul,2025-03-06,8.1,4.8,66,overcast clouds,2.97
Istanbul,2025-03-07,8.4,4.4,61,overcast clouds,4.19
Istanbul,2025-03-08,8.9,5.8,77,partly cloudy,3.64
Istanbul,2025-03-09,9.0,7.4,86,mainly clear,1.67
Istanbul,2025-03-10,10.2,8.6,80,clear sky,1.75
Istanbul,2025-03-11,13.5,10.8,67,overcast clouds,3.89
Istanbul,2025-03-12,16.3,13.6,57,moderate drizzle,4.31
Istanbul,2025-03-13,17.2,14.9,53,overcast clouds,3.19
Istanbul,2025-03-14,18.8,16.1,44,overcast clouds,3.5
Istanbul,2025-03-15,18.8,16.7,51,overcast clouds,3.06
Istanbul,2025-03-16,20.4,17.5,42,overcast clouds,4.11
Istanbul,2025-03-17,14.7,13.0,68,light drizzle,2.72
Istanbul,2025-03-18,6.9,2.6,83,moderate rain,5.64
Istanbul,2025-03-19,5.1,-0.6,54,light drizzle,5.78
Istanbul,2025-03-20,6.4,2.8,74,moderate snow,3.5
Istanbul,2025-03-21,7.7,4.4,65,overcast clouds,2.58
Istanbul,2025-03-22,8.2,5.8,62,overcast clouds,1.33
Istanbul,2025-03-23,10.9,8.6,61,moderate drizzle,1.72
Istanbul,2025-03-24,14.3,11.3,61,light drizzle,4.33
Istanbul,2025-03-25,16.3,13.5,53,overcast clouds,3.5
Istanbul,2025-03-26,15.4,14.0,63,overcast clouds,1.89
Istanbul,2025-03-27,16.2,13.6,50,overcast clouds,2.94
Istanbul,2025-03-28,13.2,10.6,72,light rain,4.08
Istanbul,2025-03-29,13.5,12.6,76,moderate drizzle,1.56
Istanbul,2025-03-30,13.8,12.8,74,light drizzle,1.56
Istanbul,2025-03-31,13.2,11.9,78,light drizzle,2.25
Istanbul,2025-04-01,12.2,10.3,84,light rain,3.5
Istanbul,2025-04-02,10.8,8.5,89,light drizzle,3.83
Istanbul,2025-04-03,11.6,10.1,82,moderate drizzle,2.25
Istanbul,2025-04-04,11.5,9.8,76,light drizzle,1.97
Istanbul,2025-04-05,10.6,9.1,87,overcast clouds,2.06
Istanbul,2025-04-06,11.8,8.7,77,moderate rain,4.97
Istanbul,2025-04-07,6.9,3.0,84,light rain,4.94
Istanbul,2025-04-08,6.7,2.6,62,overcast clouds,4.06
Istanbul,2025-04-09,7.3,3.5,56,overcast clouds,2.94
Istanbul,2025-04-10,9.2,5.6,64,dense drizzle,4.17
Istanbul,2025-04-11,6.1,1.7,54,moderate rain,4.28
Istanbul,2025-04-12,8.1,4.5,67,dense drizzle,3.53
