time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-12-01,63,25.6,30.7,89,5.7
2020-12-02,63,25.8,30.8,88,6.0
2020-12-03,61,25.9,31.3,88,3.6
2020-12-04,51,26.1,30.2,79,6.5
2020-12-05,63,26.5,30.9,76,4.1
2020-12-06,55,26.7,31.8,81,4.5
2020-12-07,61,26.4,31.8,85,4.2
2020-12-08,61,26.2,31.5,86,4.1
2020-12-09,63,26.2,31.7,86,3.0
2020-12-10,63,25.9,31.4,89,4.0
2020-12-11,61,26.3,31.9,88,4.9
2020-12-12,63,25.6,30.8,89,3.9
2020-12-13,61,26.1,30.7,82,6.4
2020-12-14,63,25.8,30.9,86,4.4
2020-12-15,63,25.7,30.7,87,3.9
2020-12-16,63,25.4,30.4,87,3.9
2020-12-17,63,25.0,29.8,89,4.4
2020-12-18,61,25.2,30.0,88,4.7
2020-12-19,61,25.1,29.8,87,4.2
2020-12-20,61,25.7,30.6,84,3.8
2020-12-21,63,25.9,30.7,82,4.0
2020-12-22,63,25.9,31.3,86,3.2
2020-12-23,61,26.5,32.0,86,4.4
2020-12-24,63,26.3,31.2,85,5.7
2020-12-25,51,26.3,31.1,83,5.2
2020-12-26,63,26.6,31.7,84,5.7
2020-12-27,55,26.7,31.8,81,3.8
2020-12-28,63,26.1,31.3,85,4.2
2020-12-29,63,25.1,30.0,87,3.6
2020-12-30,53,26.0,31.2,84,3.5
2020-12-31,51,26.1,31.2,83,3.5
2021-01-01,63,25.9,30.9,85,4.1
2021-01-02,63,25.0,29.8,88,3.7
2021-01-03,65,24.0,28.4,90,4.3
2021-01-04,63,24.6,29.0,86,4.0
2021-01-05,63,25.7,30.4,85,5.7
2021-01-06,61,25.2,30.1,87,3.4
2021-01-07,51,25.5,30.5,85,2.1
2021-01-08,63,26.4,31.2,82,4.7
2021-01-09,63,26.0,30.8,83,4.2
2021-01-10,51,26.4,30.6,77,4.2
2021-01-11,51,26.3,30.5,77,4.5
2021-01-12,61,26.2,30.3,77,5.8
2021-01-13,51,26.1,29.6,75,6.8
2021-01-14,51,26.4,31.0,80,5.1
2021-01-15,51,26.4,30.1,75,7.2
2021-01-16,51,27.0,30.8,72,6.1
2021-01-17,61,26.7,31.3,79,5.1
2021-01-18,51,26.2,28.8,70,9.3
2021-01-19,3,26.2,29.0,68,8.0
2021-01-20,53,26.2,29.9,74,5.0
2021-01-21,61,25.9,30.6,81,3.1
2021-01-22,63,25.9,30.8,83,3.8
2021-01-23,61,25.5,30.0,83,4.4
2021-01-24,61,26.7,31.2,77,4.5
2021-01-25,63,26.3,31.4,83,3.5
2021-01-26,53,26.4,31.6,82,4.3
2021-01-27,53,26.5,31.4,80,3.5
2021-01-28,63,25.9,30.7,84,5.1
2021-01-29,63,26.4,30.7,77,4.9
2021-01-30,51,26.2,30.2,75,6.3
2021-01-31,53,26.5,30.5,74,5.0
2021-02-01,53,26.8,31.4,78,5.5
2021-02-02,51,27.0,31.5,76,5.9
2021-02-03,51,26.8,31.5,78,5.1
2021-02-04,51,27.1,30.6,70,7.5
2021-02-05,3,27.3,30.9,64,3.7
2021-02-06,3,28.6,32.2,63,6.4
2021-02-07,53,28.6,32.7,65,4.7
2021-02-08,51,28.7,32.6,65,5.7
2021-02-09,51,28.3,33.0,72,5.3
2021-02-10,55,27.9,33.0,77,3.9
2021-02-11,63,26.9,32.1,82,5.1
2021-02-12,51,27.1,32.3,80,4.4
2021-02-13,55,27.2,32.2,78,5.0
2021-02-14,53,27.3,32.2,77,5.0
2021-02-15,53,27.2,31.7,75,5.8
2021-02-16,51,26.7,30.3,72,6.8
2021-02-17,3,27.4,30.5,66,8.0
2021-02-18,3,27.7,29.4,55,9.6
2021-02-19,3,27.7,29.2,55,9.2
2021-02-20,3,28.1,30.1,56,8.0
2021-02-21,3,28.5,30.9,57,7.2
2021-02-22,3,28.9,31.3,57,8.2
2021-02-23,53,28.6,31.5,59,7.2
2021-02-24,51,28.6,32.0,64,7.7
2021-02-25,51,29.7,32.2,58,10.8
2021-02-26,3,29.2,31.2,57,13.1
2021-02-27,3,29.5,32.0,58,10.2
2021-02-28,53,29.3,32.6,58,5.6
2021-03-01,53,29.6,33.3,60,5.3
2021-03-02,61,29.2,33.9,69,4.6
2021-03-03,51,27.7,32.3,75,6.7
2021-03-04,3,28.8,33.0,69,7.2
2021-03-05,51,29.6,33.5,62,6.5
2021-03-06,63,27.7,32.3,77,6.8
2021-03-07,65,24.8,29.6,90,4.7
2021-03-08,51,26.8,32.0,80,4.3
2021-03-09,51,27.9,31.6,67,6.3
2021-03-10,53,27.8,32.1,70,5.1
2021-03-11,53,27.5,32.2,74,4.6
2021-03-12,63,26.2,30.6,82,6.1
2021-03-13,63,25.9,31.0,84,4.7
2021-03-14,63,26.3,31.6,83,3.6
2021-03-15,63,27.1,32.3,79,4.3
2021-03-16,63,26.4,31.7,84,4.9
2021-03-17,63,26.4,31.8,84,5.4
2021-03-18,63,26.6,32.0,84,4.2
2021-03-19,63,26.5,32.1,86,4.5
2021-03-20,63,26.7,32.3,84,4.3
2021-03-21,61,26.7,32.1,84,4.7
2021-03-22,51,27.6,32.9,78,4.3
2021-03-23,63,26.6,31.9,84,3.8
2021-03-24,65,25.4,30.6,90,4.5
2021-03-25,63,26.5,31.6,84,5.1
2021-03-26,65,26.6,31.9,83,4.1
2021-03-27,53,27.3,32.7,82,5.1
2021-03-28,63,27.1,32.6,82,4.7
2021-03-29,61,26.2,31.2,86,5.5
2021-03-30,61,27.5,33.6,83,3.7
2021-03-31,61,27.2,32.4,82,6.0
2021-04-01,55,27.8,33.2,81,4.4
2021-04-02,51,28.2,33.4,78,6.7
2021-04-03,53,27.8,33.1,80,5.6
2021-04-04,63,27.2,32.5,83,6.9
2021-04-05,65,26.8,32.5,86,4.6
2021-04-06,61,27.4,33.4,84,3.1
2021-04-07,65,26.6,32.2,86,5.5
